batch,cohort,pairID,mouseID,GD01_BW,GD14_bw,pair_status,subjectID,ds,ds_rank,isi_rank,Rating,glicko_rank,Win,Loss,win_prop,loss_prop,status,despotism,cort_post,cort_pre
A,A,B,2,33,33,dom,A.2,-18.38330201,8,8,1894.55652,7,11,71,0.009083402,0.058629232,Subordinate,0.63,138.7400374,312.8420793
A,A,B,3,36.8,36.1,sub,A.3,-11.8125,6,7,1980.755723,6,24,152,0.019818332,0.125516102,Subordinate,0.63,95.64159186,201.1298225
A,A,W,4,36.1,37.1,sub,A.4,6.022668241,4,3,2157.66563,4,73,165,0.06028076,0.136251032,Subdominant,0.63,57.17147374,98.39657312
A,A,B,5,34,32.9,dom,A.5,-15.22608902,7,6,1752.885066,9,21,214,0.01734104,0.17671346,Subordinate,0.63,160.1581461,130.4553149
A,A,B,6,36.6,38.2,sub,A.6,30.24798842,2,2,2619.335681,2,236,121,0.194880264,0.099917424,Subdominant,0.63,95.64675157,185.6670291
A,A,W,7,33.7,37.3,dom,A.7,43.06396862,1,1,3107.666842,1,759,3,0.626754748,0.002477291,Alpha,0.63,55.2630066,151.0397599
A,A,W,9,30.6,30.6,sub,A.9,-20.30570811,9,9,1787.012534,8,11,128,0.009083402,0.10569777,Subordinate,0.63,91.88070669,44.56145717
A,A,W,10,31.8,34.7,dom,A.10,11.86185438,3,4,2159.939774,3,47,130,0.0388109,0.107349298,Subdominant,0.63,158.5135722,135.9263584
A,A,W,11,32.3,34.6,sub,A.11,-23.48942919,10,10,1729.972477,10,2,54,0.001651528,0.044591247,Subordinate,0.63,242.3745332,66.8253505
A,A,B,12,35.1,37.2,dom,A.12,-1.979451346,5,5,1987.563675,5,27,173,0.022295623,0.142857143,Subordinate,0.63,NA,NA
A,B,W,2,33,35.6,sub,B.2,31.07907937,2,2,2607.261932,2,356,191,0.343629344,0.184362934,Subdominant,0.45,156.3799708,93.01540683
A,B,W,3,35.2,NA,dom,B.3,40.42374418,1,1,3124.994682,1,465,5,0.448841699,0.004826255,Alpha,0.45,74.62638869,107.4814411
A,B,B,4,35.7,40.6,dom,B.4,-7.804029765,6,4,1924.492825,7,10,78,0.00965251,0.075289575,Subordinate,0.45,113.707147,90.88833709
A,B,W,5,31,35.9,sub,B.5,-33.21994446,10,10,1533.881005,10,2,137,0.001930502,0.132239382,Subordinate,0.45,95.18479877,99.22618266
A,B,W,6,32.3,33.6,dom,B.6,-13.92590722,9,7,1921.241216,8,21,202,0.02027027,0.194980695,Subordinate,0.45,99.55480201,296.4871106
A,B,B,7,33.7,35.9,sub,B.7,-12.62630383,8,8,1877.766086,9,58,85,0.055984556,0.082046332,Subordinate,0.45,164.9436803,168.9799639
A,B,B,9,32.8,34.3,dom,B.9,-10.87503965,7,9,2046.792471,5,23,104,0.022200772,0.1003861,Subordinate,0.45,153.5594191,123.7012552
A,B,B,10,29.5,32.6,sub,B.10,-5.154838776,5,6,1978.287907,6,13,62,0.012548263,0.05984556,Subordinate,0.45,110.4734042,161.784465
A,B,B,11,37,39.8,dom,B.11,11.15003501,3,3,2244.688592,3,59,83,0.056949807,0.08011583,Subdominant,0.45,101.456409,339.3513646
A,B,W,12,36.3,40.8,sub,B.12,0.953205128,4,5,2087.828556,4,29,89,0.027992278,0.085907336,Subordinate,0.45,NA,NA
B,C,W,1,38.2,40.3,dom,C.1,-24.17427761,9,9,1794.10814,8,20,143,0.021978022,0.157142857,Subordinate,0.4,135.3496335,NA
B,C,B,3,37.3,41.7,sub,C.3,14.81592404,3,2,2224.367482,4,62,57,0.068131868,0.062637363,Subdominant,0.4,148.9361949,NA
